Area,Year,Ethnicity,Projection,Age,Sex,Value,Flags
"South Wairarapa district","2013","Total population","Medium","Total people, all ages","Total people",9800,
"South Wairarapa district","2018","Total population","Medium","Total people, all ages","Total people",10250,
"South Wairarapa district","2023","Total population","Medium","Total people, all ages","Total people",10500,
"South Wairarapa district","2028","Total population","Medium","Total people, all ages","Total people",10650,
"South Wairarapa district","2033","Total population","Medium","Total people, all ages","Total people",10800,
"South Wairarapa district","2038","Total population","Medium","Total people, all ages","Total people",10850,
"Tasman district","2013","Maori","Medium","Total people, all ages","Total people",3870,
"Tasman district","2018","Maori","Medium","Total people, all ages","Total people",4290,
"Tasman district","2023","Maori","Medium","Total people, all ages","Total people",4770,
"Tasman district","2028","Maori","Medium","Total people, all ages","Total people",5310,
"Tasman district","2033","Maori","Medium","Total people, all ages","Total people",5910,
"Tasman district","2038","Maori","Medium","Total people, all ages","Total people",6570,
"Tasman district","2013","Total population","Medium","Total people, all ages","Total people",48800,
"Tasman district","2018","Total population","Medium","Total people, all ages","Total people",51300,
"Tasman district","2023","Total population","Medium","Total people, all ages","Total people",53000,
"Tasman district","2028","Total population","Medium","Total people, all ages","Total people",54300,
"Tasman district","2033","Total population","Medium","Total people, all ages","Total people",55300,
"Tasman district","2038","Total population","Medium","Total people, all ages","Total people",55800,
"Nelson city","2013","Maori","Medium","Total people, all ages","Total people",4830,
"Nelson city","2018","Maori","Medium","Total people, all ages","Total people",5490,
"Nelson city","2023","Maori","Medium","Total people, all ages","Total people",6170,
"Nelson city","2028","Maori","Medium","Total people, all ages","Total people",6900,
"Nelson city","2033","Maori","Medium","Total people, all ages","Total people",7690,
"Nelson city","2038","Maori","Medium","Total people, all ages","Total people",8530,
"Nelson city","2013","Total population","Medium","Total people, all ages","Total people",48700,
"Nelson city","2018","Total population","Medium","Total people, all ages","Total people",51800,
"Nelson city","2023","Total population","Medium","Total people, all ages","Total people",53700,
"Nelson city","2028","Total population","Medium","Total people, all ages","Total people",55300,
"Nelson city","2033","Total population","Medium","Total people, all ages","Total people",56500,
"Nelson city","2038","Total population","Medium","Total people, all ages","Total people",57400,
"Marlborough district","2013","Maori","Medium","Total people, all ages","Total people",5300,
"Marlborough district","2018","Maori","Medium","Total people, all ages","Total people",5980,
"Marlborough district","2023","Maori","Medium","Total people, all ages","Total people",6670,
"Marlborough district","2028","Maori","Medium","Total people, all ages","Total people",7380,
"Marlborough district","2033","Maori","Medium","Total people, all ages","Total people",8160,
"Marlborough district","2038","Maori","Medium","Total people, all ages","Total people",9020,
"Marlborough district","2013","Total population","Medium","Total people, all ages","Total people",44700,
"Marlborough district","2018","Total population","Medium","Total people, all ages","Total people",46000,
"Marlborough district","2023","Total population","Medium","Total people, all ages","Total people",46900,
"Marlborough district","2028","Total population","Medium","Total people, all ages","Total people",47400,
"Marlborough district","2033","Total population","Medium","Total people, all ages","Total people",47600,
"Marlborough district","2038","Total population","Medium","Total people, all ages","Total people",47500,
"Kaikoura district","2013","Maori","Medium","Total people, all ages","Total people",650,
"Kaikoura district","2018","Maori","Medium","Total people, all ages","Total people",730,
"Kaikoura district","2023","Maori","Medium","Total people, all ages","Total people",800,
"Kaikoura district","2028","Maori","Medium","Total people, all ages","Total people",860,
"Kaikoura district","2033","Maori","Medium","Total people, all ages","Total people",940,
"Kaikoura district","2038","Maori","Medium","Total people, all ages","Total people",1010,
"Kaikoura district","2013","Total population","Medium","Total people, all ages","Total people",3640,
"Kaikoura district","2018","Total population","Medium","Total people, all ages","Total people",3670,
"Kaikoura district","2023","Total population","Medium","Total people, all ages","Total people",3690,
"Kaikoura district","2028","Total population","Medium","Total people, all ages","Total people",3680,
"Kaikoura district","2033","Total population","Medium","Total people, all ages","Total people",3640,
"Kaikoura district","2038","Total population","Medium","Total people, all ages","Total people",3580,
"Buller district","2013","Maori","Medium","Total people, all ages","Total people",1090,
"Buller district","2018","Maori","Medium","Total people, all ages","Total people",1180,
"Buller district","2023","Maori","Medium","Total people, all ages","Total people",1250,
"Buller district","2028","Maori","Medium","Total people, all ages","Total people",1330,
"Buller district","2033","Maori","Medium","Total people, all ages","Total people",1400,
"Buller district","2038","Maori","Medium","Total people, all ages","Total people",1470,
"Buller district","2013","Total population","Medium","Total people, all ages","Total people",10650,
"Buller district","2018","Total population","Medium","Total people, all ages","Total people",10100,
"Buller district","2023","Total population","Medium","Total people, all ages","Total people",10000,
"Buller district","2028","Total population","Medium","Total people, all ages","Total people",9910,
"Buller district","2033","Total population","Medium","Total people, all ages","Total people",9800,
"Buller district","2038","Total population","Medium","Total people, all ages","Total people",9670,
"Grey district","2013","Maori","Medium","Total people, all ages","Total people",1340,
"Grey district","2018","Maori","Medium","Total people, all ages","Total people",1430,
"Grey district","2023","Maori","Medium","Total people, all ages","Total people",1520,
"Grey district","2028","Maori","Medium","Total people, all ages","Total people",1600,
"Grey district","2033","Maori","Medium","Total people, all ages","Total people",1700,
"Grey district","2038","Maori","Medium","Total people, all ages","Total people",1790,
"Grey district","2013","Total population","Medium","Total people, all ages","Total people",13700,
"Grey district","2018","Total population","Medium","Total people, all ages","Total people",13600,
"Grey district","2023","Total population","Medium","Total people, all ages","Total people",13550,
"Grey district","2028","Total population","Medium","Total people, all ages","Total people",13450,
"Grey district","2033","Total population","Medium","Total people, all ages","Total people",13250,
"Grey district","2038","Total population","Medium","Total people, all ages","Total people",12950,
"Westland district","2013","Maori","Medium","Total people, all ages","Total people",1170,
"Westland district","2018","Maori","Medium","Total people, all ages","Total people",1280,
"Westland district","2023","Maori","Medium","Total people, all ages","Total people",1390,
"Westland district","2028","Maori","Medium","Total people, all ages","Total people",1500,
"Westland district","2033","Maori","Medium","Total people, all ages","Total people",1610,
"Westland district","2038","Maori","Medium","Total people, all ages","Total people",1730,
"Westland district","2013","Total population","Medium","Total people, all ages","Total people",8570,
"Westland district","2018","Total population","Medium","Total people, all ages","Total people",8850,
"Westland district","2023","Total population","Medium","Total people, all ages","Total people",8910,
"Westland district","2028","Total population","Medium","Total people, all ages","Total people",8910,
"Westland district","2033","Total population","Medium","Total people, all ages","Total people",8820,
"Westland district","2038","Total population","Medium","Total people, all ages","Total people",8680,
"Hurunui district","2013","Maori","Medium","Total people, all ages","Total people",920,
"Hurunui district","2018","Maori","Medium","Total people, all ages","Total people",1150,
"Hurunui district","2023","Maori","Medium","Total people, all ages","Total people",1330,
"Hurunui district","2028","Maori","Medium","Total people, all ages","Total people",1530,
"Hurunui district","2033","Maori","Medium","Total people, all ages","Total people",1740,
"Hurunui district","2038","Maori","Medium","Total people, all ages","Total people",1990,
"Hurunui district","2013","Total population","Medium","Total people, all ages","Total people",12000,
"Hurunui district","2018","Total population","Medium","Total people, all ages","Total people",12950,
"Hurunui district","2023","Total population","Medium","Total people, all ages","Total people",13450,
"Hurunui district","2028","Total population","Medium","Total people, all ages","Total people",13850,
"Hurunui district","2033","Total population","Medium","Total people, all ages","Total people",14200,
"Hurunui district","2038","Total population","Medium","Total people, all ages","Total people",14400,
"Waimakariri district","2013","Maori","Medium","Total people, all ages","Total people",4080,
"Waimakariri district","2018","Maori","Medium","Total people, all ages","Total people",4880,
"Waimakariri district","2023","Maori","Medium","Total people, all ages","Total people",5580,
"Waimakariri district","2028","Maori","Medium","Total people, all ages","Total people",6310,
"Waimakariri district","2033","Maori","Medium","Total people, all ages","Total people",7100,
"Waimakariri district","2038","Maori","Medium","Total people, all ages","Total people",7970,
"Waimakariri district","2013","Total population","Medium","Total people, all ages","Total people",52300,
"Waimakariri district","2018","Total population","Medium","Total people, all ages","Total people",60900,
"Waimakariri district","2023","Total population","Medium","Total people, all ages","Total people",66800,
"Waimakariri district","2028","Total population","Medium","Total people, all ages","Total people",71500,
"Waimakariri district","2033","Total population","Medium","Total people, all ages","Total people",75800,
"Waimakariri district","2038","Total population","Medium","Total people, all ages","Total people",79600,
"Christchurch city","2013","Maori","Medium","Total people, all ages","Total people",31800,
"Christchurch city","2018","Maori","Medium","Total people, all ages","Total people",36300,
"Christchurch city","2023","Maori","Medium","Total people, all ages","Total people",40800,
"Christchurch city","2028","Maori","Medium","Total people, all ages","Total people",45300,
"Christchurch city","2033","Maori","Medium","Total people, all ages","Total people",50100,
"Christchurch city","2038","Maori","Medium","Total people, all ages","Total people",55200,
"Christchurch city","2013","Total population","Medium","Total people, all ages","Total people",356700,
"Christchurch city","2018","Total population","Medium","Total people, all ages","Total people",387200,
"Christchurch city","2023","Total population","Medium","Total people, all ages","Total people",408800,
"Christchurch city","2028","Total population","Medium","Total people, all ages","Total people",423800,
"Christchurch city","2033","Total population","Medium","Total people, all ages","Total people",437500,
"Christchurch city","2038","Total population","Medium","Total people, all ages","Total people",449100,
"Selwyn district","2013","Maori","Medium","Total people, all ages","Total people",3460,
"Selwyn district","2018","Maori","Medium","Total people, all ages","Total people",4630,
"Selwyn district","2023","Maori","Medium","Total people, all ages","Total people",5580,
"Selwyn district","2028","Maori","Medium","Total people, all ages","Total people",6560,
"Selwyn district","2033","Maori","Medium","Total people, all ages","Total people",7620,
"Selwyn district","2038","Maori","Medium","Total people, all ages","Total people",8760,
"Selwyn district","2013","Total population","Medium","Total people, all ages","Total people",46700,
"Selwyn district","2018","Total population","Medium","Total people, all ages","Total people",61900,
"Selwyn district","2023","Total population","Medium","Total people, all ages","Total people",71900,
"Selwyn district","2028","Total population","Medium","Total people, all ages","Total people",79200,
"Selwyn district","2033","Total population","Medium","Total people, all ages","Total people",86200,
"Selwyn district","2038","Total population","Medium","Total people, all ages","Total people",92900,
"Ashburton district","2013","Maori","Medium","Total people, all ages","Total people",2490,
"Ashburton district","2018","Maori","Medium","Total people, all ages","Total people",3120,
"Ashburton district","2023","Maori","Medium","Total people, all ages","Total people",3610,
"Ashburton district","2028","Maori","Medium","Total people, all ages","Total people",4090,
"Ashburton district","2033","Maori","Medium","Total people, all ages","Total people",4620,
"Ashburton district","2038","Maori","Medium","Total people, all ages","Total people",5220,
"Ashburton district","2013","Total population","Medium","Total people, all ages","Total people",32300,
"Ashburton district","2018","Total population","Medium","Total people, all ages","Total people",34700,
"Ashburton district","2023","Total population","Medium","Total people, all ages","Total people",36300,
"Ashburton district","2028","Total population","Medium","Total people, all ages","Total people",37800,
"Ashburton district","2033","Total population","Medium","Total people, all ages","Total people",39200,
"Ashburton district","2038","Total population","Medium","Total people, all ages","Total people",40500,
"Timaru district","2013","Maori","Medium","Total people, all ages","Total people",3550,
"Timaru district","2018","Maori","Medium","Total people, all ages","Total people",4130,
"Timaru district","2023","Maori","Medium","Total people, all ages","Total people",4710,
"Timaru district","2028","Maori","Medium","Total people, all ages","Total people",5340,
"Timaru district","2033","Maori","Medium","Total people, all ages","Total people",6030,
"Timaru district","2038","Maori","Medium","Total people, all ages","Total people",6800,
"Timaru district","2013","Total population","Medium","Total people, all ages","Total people",45400,
"Timaru district","2018","Total population","Medium","Total people, all ages","Total people",47400,
"Timaru district","2023","Total population","Medium","Total people, all ages","Total people",48500,
"Timaru district","2028","Total population","Medium","Total people, all ages","Total people",49400,
"Timaru district","2033","Total population","Medium","Total people, all ages","Total people",50000,
"Timaru district","2038","Total population","Medium","Total people, all ages","Total people",50200,
"Mackenzie district","2013","Maori","Medium","Total people, all ages","Total people",310,
"Mackenzie district","2018","Maori","Medium","Total people, all ages","Total people",380,
"Mackenzie district","2023","Maori","Medium","Total people, all ages","Total people",440,
"Mackenzie district","2028","Maori","Medium","Total people, all ages","Total people",500,
"Mackenzie district","2033","Maori","Medium","Total people, all ages","Total people",570,
"Mackenzie district","2038","Maori","Medium","Total people, all ages","Total people",640,
"Mackenzie district","2013","Total population","Medium","Total people, all ages","Total people",4300,
"Mackenzie district","2018","Total population","Medium","Total people, all ages","Total people",4680,
"Mackenzie district","2023","Total population","Medium","Total people, all ages","Total people",4790,
"Mackenzie district","2028","Total population","Medium","Total people, all ages","Total people",4880,
"Mackenzie district","2033","Total population","Medium","Total people, all ages","Total people",4930,
"Mackenzie district","2038","Total population","Medium","Total people, all ages","Total people",4980,
"Waimate district","2013","Maori","Medium","Total people, all ages","Total people",530,
"Waimate district","2018","Maori","Medium","Total people, all ages","Total people",650,
"Waimate district","2023","Maori","Medium","Total people, all ages","Total people",750,
"Waimate district","2028","Maori","Medium","Total people, all ages","Total people",860,
"Waimate district","2033","Maori","Medium","Total people, all ages","Total people",990,
"Waimate district","2038","Maori","Medium","Total people, all ages","Total people",1140,
"Waimate district","2013","Total population","Medium","Total people, all ages","Total people",7810,
"Waimate district","2018","Total population","Medium","Total people, all ages","Total people",8040,
"Waimate district","2023","Total population","Medium","Total people, all ages","Total people",8190,
"Waimate district","2028","Total population","Medium","Total people, all ages","Total people",8330,
"Waimate district","2033","Total population","Medium","Total people, all ages","Total people",8420,
"Waimate district","2038","Total population","Medium","Total people, all ages","Total people",8480,
"Chatham Islands territory","2013","Maori","Medium","Total people, all ages","Total people",350,
"Chatham Islands territory","2018","Maori","Medium","Total people, all ages","Total people",340,
"Chatham Islands territory","2023","Maori","Medium","Total people, all ages","Total people",330,
"Chatham Islands territory","2028","Maori","Medium","Total people, all ages","Total people",320,
"Chatham Islands territory","2033","Maori","Medium","Total people, all ages","Total people",320,
"Chatham Islands territory","2038","Maori","Medium","Total people, all ages","Total people",320,
"Chatham Islands territory","2013","Total population","Medium","Total people, all ages","Total people",600,
"Chatham Islands territory","2018","Total population","Medium","Total people, all ages","Total people",610,
"Chatham Islands territory","2023","Total population","Medium","Total people, all ages","Total people",610,
"Chatham Islands territory","2028","Total population","Medium","Total people, all ages","Total people",610,
"Chatham Islands territory","2033","Total population","Medium","Total people, all ages","Total people",620,
"Chatham Islands territory","2038","Total population","Medium","Total people, all ages","Total people",620,
"Waitaki district","2013","Maori","Medium","Total people, all ages","Total people",1480,
"Waitaki district","2018","Maori","Medium","Total people, all ages","Total people",1780,
"Waitaki district","2023","Maori","Medium","Total people, all ages","Total people",2080,
"Waitaki district","2028","Maori","Medium","Total people, all ages","Total people",2390,
"Waitaki district","2033","Maori","Medium","Total people, all ages","Total people",2730,
"Waitaki district","2038","Maori","Medium","Total people, all ages","Total people",3120,
"Waitaki district","2013","Total population","Medium","Total people, all ages","Total people",21400,
"Waitaki district","2018","Total population","Medium","Total people, all ages","Total people",22300,
"Waitaki district","2023","Total population","Medium","Total people, all ages","Total people",22800,
"Waitaki district","2028","Total population","Medium","Total people, all ages","Total people",23300,
"Waitaki district","2033","Total population","Medium","Total people, all ages","Total people",23600,
"Waitaki district","2038","Total population","Medium","Total people, all ages","Total people",23900,
"Central Otago district","2013","Maori","Medium","Total people, all ages","Total people",1460,
"Central Otago district","2018","Maori","Medium","Total people, all ages","Total people",1680,
"Central Otago district","2023","Maori","Medium","Total people, all ages","Total people",1910,
"Central Otago district","2028","Maori","Medium","Total people, all ages","Total people",2160,
"Central Otago district","2033","Maori","Medium","Total people, all ages","Total people",2430,
"Central Otago district","2038","Maori","Medium","Total people, all ages","Total people",2730,
"Central Otago district","2013","Total population","Medium","Total people, all ages","Total people",18500,
"Central Otago district","2018","Total population","Medium","Total people, all ages","Total people",20500,
"Central Otago district","2023","Total population","Medium","Total people, all ages","Total people",21400,
"Central Otago district","2028","Total population","Medium","Total people, all ages","Total people",22200,
"Central Otago district","2033","Total population","Medium","Total people, all ages","Total people",22900,
"Central Otago district","2038","Total population","Medium","Total people, all ages","Total people",23300,
"Queenstown-Lakes district","2013","Maori","Medium","Total people, all ages","Total people",1710,
"Queenstown-Lakes district","2018","Maori","Medium","Total people, all ages","Total people",2110,
"Queenstown-Lakes district","2023","Maori","Medium","Total people, all ages","Total people",2470,
"Queenstown-Lakes district","2028","Maori","Medium","Total people, all ages","Total people",2790,
"Queenstown-Lakes district","2033","Maori","Medium","Total people, all ages","Total people",3140,
"Queenstown-Lakes district","2038","Maori","Medium","Total people, all ages","Total people",3520,
"Queenstown-Lakes district","2013","Total population","Medium","Total people, all ages","Total people",29700,
"Queenstown-Lakes district","2018","Total population","Medium","Total people, all ages","Total people",38300,
"Queenstown-Lakes district","2023","Total population","Medium","Total people, all ages","Total people",44000,
"Queenstown-Lakes district","2028","Total population","Medium","Total people, all ages","Total people",47700,
"Queenstown-Lakes district","2033","Total population","Medium","Total people, all ages","Total people",51100,
"Queenstown-Lakes district","2038","Total population","Medium","Total people, all ages","Total people",54300,
"Dunedin city","2013","Maori","Medium","Total people, all ages","Total people",10000,
"Dunedin city","2018","Maori","Medium","Total people, all ages","Total people",11450,
"Dunedin city","2023","Maori","Medium","Total people, all ages","Total people",12850,
"Dunedin city","2028","Maori","Medium","Total people, all ages","Total people",14250,
"Dunedin city","2033","Maori","Medium","Total people, all ages","Total people",15800,
"Dunedin city","2038","Maori","Medium","Total people, all ages","Total people",17350,
"Dunedin city","2013","Total population","Medium","Total people, all ages","Total people",123500,
"Dunedin city","2018","Total population","Medium","Total people, all ages","Total people",129000,
"Dunedin city","2023","Total population","Medium","Total people, all ages","Total people",132000,
"Dunedin city","2028","Total population","Medium","Total people, all ages","Total people",133900,
"Dunedin city","2033","Total population","Medium","Total people, all ages","Total people",135300,
"Dunedin city","2038","Total population","Medium","Total people, all ages","Total people",136200,
"Clutha district","2013","Maori","Medium","Total people, all ages","Total people",1780,
"Clutha district","2018","Maori","Medium","Total people, all ages","Total people",1940,
"Clutha district","2023","Maori","Medium","Total people, all ages","Total people",2100,
"Clutha district","2028","Maori","Medium","Total people, all ages","Total people",2270,
"Clutha district","2033","Maori","Medium","Total people, all ages","Total people",2440,
"Clutha district","2038","Maori","Medium","Total people, all ages","Total people",2640,
"Clutha district","2013","Total population","Medium","Total people, all ages","Total people",17250,
"Clutha district","2018","Total population","Medium","Total people, all ages","Total people",17600,
"Clutha district","2023","Total population","Medium","Total people, all ages","Total people",17550,
"Clutha district","2028","Total population","Medium","Total people, all ages","Total people",17500,
"Clutha district","2033","Total population","Medium","Total people, all ages","Total people",17300,
"Clutha district","2038","Total population","Medium","Total people, all ages","Total people",17000,
"Southland district","2013","Maori","Medium","Total people, all ages","Total people",3110,
"Southland district","2018","Maori","Medium","Total people, all ages","Total people",3370,
"Southland district","2023","Maori","Medium","Total people, all ages","Total people",3620,
"Southland district","2028","Maori","Medium","Total people, all ages","Total people",3890,
"Southland district","2033","Maori","Medium","Total people, all ages","Total people",4190,
"Southland district","2038","Maori","Medium","Total people, all ages","Total people",4530,
"Southland district","2013","Total population","Medium","Total people, all ages","Total people",30300,
"Southland district","2018","Total population","Medium","Total people, all ages","Total people",31400,
"Southland district","2023","Total population","Medium","Total people, all ages","Total people",31800,
"Southland district","2028","Total population","Medium","Total people, all ages","Total people",32100,
"Southland district","2033","Total population","Medium","Total people, all ages","Total people",32200,
"Southland district","2038","Total population","Medium","Total people, all ages","Total people",32100,
"Gore district","2013","Maori","Medium","Total people, all ages","Total people",1400,
"Gore district","2018","Maori","Medium","Total people, all ages","Total people",1550,
"Gore district","2023","Maori","Medium","Total people, all ages","Total people",1690,
"Gore district","2028","Maori","Medium","Total people, all ages","Total people",1840,
"Gore district","2033","Maori","Medium","Total people, all ages","Total people",1990,
"Gore district","2038","Maori","Medium","Total people, all ages","Total people",2160,
"Gore district","2013","Total population","Medium","Total people, all ages","Total people",12400,
"Gore district","2018","Total population","Medium","Total people, all ages","Total people",12500,
"Gore district","2023","Total population","Medium","Total people, all ages","Total people",12400,
"Gore district","2028","Total population","Medium","Total people, all ages","Total people",12300,
"Gore district","2033","Total population","Medium","Total people, all ages","Total people",12100,
"Gore district","2038","Total population","Medium","Total people, all ages","Total people",11800,
"Invercargill city","2013","Maori","Medium","Total people, all ages","Total people",8240,
"Invercargill city","2018","Maori","Medium","Total people, all ages","Total people",9140,
"Invercargill city","2023","Maori","Medium","Total people, all ages","Total people",9830,
"Invercargill city","2028","Maori","Medium","Total people, all ages","Total people",10500,
"Invercargill city","2033","Maori","Medium","Total people, all ages","Total people",11250,
"Invercargill city","2038","Maori","Medium","Total people, all ages","Total people",12050,
"Invercargill city","2013","Total population","Medium","Total people, all ages","Total people",53200,
"Invercargill city","2018","Total population","Medium","Total people, all ages","Total people",55300,
"Invercargill city","2023","Total population","Medium","Total people, all ages","Total people",55900,
"Invercargill city","2028","Total population","Medium","Total people, all ages","Total people",56300,
"Invercargill city","2033","Total population","Medium","Total people, all ages","Total people",56300,
"Invercargill city","2038","Total population","Medium","Total people, all ages","Total people",56000,
