Area,Year,Ethnicity,Projection,Age,Sex,Value,Flags
"Henderson-Massey local board area","2038","Maori","Medium","Total people, all ages","Total people",27900,
"Henderson-Massey local board area","2013","Total population","Medium","Total people, all ages","Total people",113500,
"Henderson-Massey local board area","2018","Total population","Medium","Total people, all ages","Total people",125000,
"Henderson-Massey local board area","2023","Total population","Medium","Total people, all ages","Total people",136100,
"Henderson-Massey local board area","2028","Total population","Medium","Total people, all ages","Total people",147400,
"Henderson-Massey local board area","2033","Total population","Medium","Total people, all ages","Total people",158400,
"Henderson-Massey local board area","2038","Total population","Medium","Total people, all ages","Total people",169100,
"Waitakere Ranges local board area","2013","Maori","Medium","Total people, all ages","Total people",5950,
"Waitakere Ranges local board area","2018","Maori","Medium","Total people, all ages","Total people",6670,
"Waitakere Ranges local board area","2023","Maori","Medium","Total people, all ages","Total people",7440,
"Waitakere Ranges local board area","2028","Maori","Medium","Total people, all ages","Total people",8230,
"Waitakere Ranges local board area","2033","Maori","Medium","Total people, all ages","Total people",9090,
"Waitakere Ranges local board area","2038","Maori","Medium","Total people, all ages","Total people",10050,
"Waitakere Ranges local board area","2013","Total population","Medium","Total people, all ages","Total people",50700,
"Waitakere Ranges local board area","2018","Total population","Medium","Total people, all ages","Total people",55500,
"Waitakere Ranges local board area","2023","Total population","Medium","Total people, all ages","Total people",58900,
"Waitakere Ranges local board area","2028","Total population","Medium","Total people, all ages","Total people",61100,
"Waitakere Ranges local board area","2033","Total population","Medium","Total people, all ages","Total people",62900,
"Waitakere Ranges local board area","2038","Total population","Medium","Total people, all ages","Total people",64200,
"Great Barrier local board area","2013","Maori","Medium","Total people, all ages","Total people",180,
"Great Barrier local board area","2018","Maori","Medium","Total people, all ages","Total people",200,
"Great Barrier local board area","2023","Maori","Medium","Total people, all ages","Total people",230,
"Great Barrier local board area","2028","Maori","Medium","Total people, all ages","Total people",270,
"Great Barrier local board area","2033","Maori","Medium","Total people, all ages","Total people",320,
"Great Barrier local board area","2038","Maori","Medium","Total people, all ages","Total people",370,
"Great Barrier local board area","2013","Total population","Medium","Total people, all ages","Total people",950,
"Great Barrier local board area","2018","Total population","Medium","Total people, all ages","Total people",980,
"Great Barrier local board area","2023","Total population","Medium","Total people, all ages","Total people",1000,
"Great Barrier local board area","2028","Total population","Medium","Total people, all ages","Total people",1010,
"Great Barrier local board area","2033","Total population","Medium","Total people, all ages","Total people",1030,
"Great Barrier local board area","2038","Total population","Medium","Total people, all ages","Total people",1050,
"Waiheke local board area","2013","Maori","Medium","Total people, all ages","Total people",1050,
"Waiheke local board area","2018","Maori","Medium","Total people, all ages","Total people",1210,
"Waiheke local board area","2023","Maori","Medium","Total people, all ages","Total people",1390,
"Waiheke local board area","2028","Maori","Medium","Total people, all ages","Total people",1580,
"Waiheke local board area","2033","Maori","Medium","Total people, all ages","Total people",1770,
"Waiheke local board area","2038","Maori","Medium","Total people, all ages","Total people",1960,
"Waiheke local board area","2013","Total population","Medium","Total people, all ages","Total people",8630,
"Waiheke local board area","2018","Total population","Medium","Total people, all ages","Total people",9560,
"Waiheke local board area","2023","Total population","Medium","Total people, all ages","Total people",10100,
"Waiheke local board area","2028","Total population","Medium","Total people, all ages","Total people",10650,
"Waiheke local board area","2033","Total population","Medium","Total people, all ages","Total people",11100,
"Waiheke local board area","2038","Total population","Medium","Total people, all ages","Total people",11400,
"Waitemata local board area","2013","Maori","Medium","Total people, all ages","Total people",5630,
"Waitemata local board area","2018","Maori","Medium","Total people, all ages","Total people",6070,
"Waitemata local board area","2023","Maori","Medium","Total people, all ages","Total people",6490,
"Waitemata local board area","2028","Maori","Medium","Total people, all ages","Total people",6910,
"Waitemata local board area","2033","Maori","Medium","Total people, all ages","Total people",7350,
"Waitemata local board area","2038","Maori","Medium","Total people, all ages","Total people",7780,
"Waitemata local board area","2013","Total population","Medium","Total people, all ages","Total people",81300,
"Waitemata local board area","2018","Total population","Medium","Total people, all ages","Total people",114000,
"Waitemata local board area","2023","Total population","Medium","Total people, all ages","Total people",132700,
"Waitemata local board area","2028","Total population","Medium","Total people, all ages","Total people",144600,
"Waitemata local board area","2033","Total population","Medium","Total people, all ages","Total people",156000,
"Waitemata local board area","2038","Total population","Medium","Total people, all ages","Total people",166600,
"Whau local board area","2013","Maori","Medium","Total people, all ages","Total people",7670,
"Whau local board area","2018","Maori","Medium","Total people, all ages","Total people",8410,
"Whau local board area","2023","Maori","Medium","Total people, all ages","Total people",9040,
"Whau local board area","2028","Maori","Medium","Total people, all ages","Total people",9540,
"Whau local board area","2033","Maori","Medium","Total people, all ages","Total people",10000,
"Whau local board area","2038","Maori","Medium","Total people, all ages","Total people",10400,
"Whau local board area","2013","Total population","Medium","Total people, all ages","Total people",76700,
"Whau local board area","2018","Total population","Medium","Total people, all ages","Total people",86800,
"Whau local board area","2023","Total population","Medium","Total people, all ages","Total people",95000,
"Whau local board area","2028","Total population","Medium","Total people, all ages","Total people",102400,
"Whau local board area","2033","Total population","Medium","Total people, all ages","Total people",109500,
"Whau local board area","2038","Total population","Medium","Total people, all ages","Total people",116100,
"Albert-Eden local board area","2013","Maori","Medium","Total people, all ages","Total people",7440,
"Albert-Eden local board area","2018","Maori","Medium","Total people, all ages","Total people",8270,
"Albert-Eden local board area","2023","Maori","Medium","Total people, all ages","Total people",9060,
